title,author,category,pages,published,format,dimensions,price,isbn,isbn_10
Jane Eyre,Charlotte Bronte,"[""Classic Fiction"", ""Fiction""]",338,2017,paperback,"[2, 3, 1.13]",21.9,9781781398456,1781398453
It Happened at the Park,Ryan Jo Summers,"[""Romance"", ""Fiction""]",118,2017,"hardcover, paperback","[12.0, 19.0, 0.4]",18.25,9781680464917,1680464914
The Wanderers,Meg Howrey,"[""Modern & Contemporary Fiction"", ""Fiction""]",384,2017,hardcover,"[12.0, 19.0, 1.28]",25.5,9781471146664,1471146669
Bed-Stuy Is Burning,Brian Platzer,"[""Modern & Contemporary Fiction"", ""Fiction""]",336,2017,hardcover,"[8.25, 11.5, 1.13]",38.5,9781501146954,1501146955
Islands in the Stream,Ernest Hemingway,"[""Modern & Contemporary Fiction"", ""Fiction""]",464,2017,hardcover,"[7, 11, 1.55]",18.9,9781784872045,1784872040
Rescue Me/Caught in the Act/Treat Her Right,Lori Foster,"[""Romance"", ""Fiction""]",464,2017,"hardcover, paperback","[8.25, 11.5, 1.55]",14.95,9781489243805,1489243801
Ninety-Nine Stories of God,Joy Williams,"[""Modern & Contemporary Fiction"", ""Fiction""]",160,2017,paperback,"[2.5, 4, 0.54]",18.75,9781781258804,1781258805
Wolfling,Gordon R Dickson,"[""Science Fiction"", ""Fiction""]",176,2017,hardcover,"[3.5, 5.5, 0.59]",25.75,9781481482714,1481482718
What We Lose,Zinzi Clemmons,"[""Modern & Contemporary Fiction"", ""Fiction""]",224,2017,hardcover,"[6.5, 9.25, 0.75]",32.9,9780735221710,0735221715
Death's Bright Day,David Drake,"[""Science Fiction"", ""Fiction""]",448,2017,"hardcover, paperback","[12.0, 19.0, 1.5]",15.25,9781481482608,1481482602
The Equestrienne,Ursula Kovalyk,"[""Modern & Contemporary Fiction"", ""Fiction""]",150,2017,paperback,"[5.37, 8, 0.5]",23.8,9781910901519,1910901512
The Fix,David Baldacci,"[""Thrillers & Suspense"", ""Fiction""]",352,2017,hardcover,"[2.5, 4, 1.18]",25.5,9781447277828,1447277821
South Pole Station,Ashley Shelby,"[""Modern & Contemporary Fiction"", ""Fiction""]",368,2017,paperback,"[4, 6.75, 1.23]",37.5,9781250112828,1250112826
War Cry,Wilbur Smith,"[""Fiction"", ""\r\nBooks\r\n""]",512,2017,paperback,"[5, 7.37, 1.71]",30.75,9780732298302,073229830X
Witch Way... for Me?,Rosie B Davies,"[""Modern & Contemporary Fiction"", ""Fiction""]",262,2017,"hardcover, paperback","[8.25, 11.5, 0.88]",57.25,9781320575317,1320575315
A Kiss Before Doomsday,Laurence MacNaughton,"[""Fantasy Fiction"", ""Fiction""]",290,2017,hardcover,"[6.5, 9.25, 0.97]",28.75,9781633882676,1633882675
Call to Engage,Tawny Weber,"[""Adult & Contemporary Romance"", ""Romance""]",384,2017,paperback,"[9.5, 12.0, 1.28]",13.9,9780373801961,0373801963
Haikyu!!,Haruichi Furudate,"[""Manga"", ""Graphic Novels""]",192,2017,"hardcover, paperback","[6.5, 9.25, 0.64]",12.5,9781421591001,1421591006
Sunset,Bruce Fulton,"[""Anthologies (non-poetry)"", ""Literature, Poetry & Plays""]",224,2017,paperback,"[6.5, 10, 0.75]",168.9,9780231181006,0231181000
Murder on Black Swan Lane,Andrea Penrose,"[""Historical Mysteries"", ""Crime & Mystery""]",304,2017,paperback,"[6.5, 9.25, 1.02]",37.25,9781496710772,1496710770
Things We Lost in the Fire,Mariana Enriquez,"[""Classic Fiction"", ""Fiction""]",208,2017,paperback,"[6.5, 9.25, 0.7]",24.4,9781846276347,1846276349
Red Clover Inn,Carla Neggers,"[""Romance"", ""Fiction""]",384,2017,hardcover,"[3.5, 5.5, 1.28]",11.9,9780778326809,0778326802
Marvel : Year by Year, DK,"[""Comic Book & Cartoon Art"", ""Illustration & Commercial Art""]",400,2017,paperback,"[5.37, 8, 1.34]",49.95,9780241281000,0241281008
Tom Clancy's Duty and Honour,Grant Blackwood,"[""Crime & Mystery"", ""Fiction""]",400,2017,paperback,"[5, 7.37, 1.34]",14.95,9781405922272,1405922273
Elasticity,Justina Robson,"[""Science Fiction"", ""Fiction""]",276,2017,paperback,"[9.5, 12.0, 0.92]",24.95,9781910935569,1910935565
Today Will Be Different,Maria Semple,"[""Modern & Contemporary Fiction"", ""Fiction""]",288,2017,hardcover,"[5, 7.37, 0.96]",18.9,9781780227337,1780227337
Death of Hawkman,Marc Andreyko,"[""Graphic Novels"", ""Fiction""]",192,2017,"hardcover, paperback","[3.5, 5.5, 0.64]",24.95,9781401268244,1401268242
The Sweetest Burn,Jeaniene Frost,"[""Paranormal Romance Fiction"", ""Romance""]",352,2017,"hardcover, paperback","[8.25, 11.5, 1.18]",13.9,9780373789412,0373789416
Tomb Raider Volume 2 (2017),Mariko Tamaki,"[""Manga"", ""Graphic Novels""]",144,2017,paperback,"[3.5, 5.5, 0.48]",25.5,9781506701622,1506701620
Jewel In The North,Tricia Stringer,"[""Historical Fiction"", ""Fiction""]",576,2017,"hardcover, paperback","[2, 3, 1.92]",24.95,9781489220387,1489220380
Every Last Lie,Mary Kubica,"[""Modern & Contemporary Fiction"", ""Fiction""]",336,2017,"hardcover, paperback","[9.5, 12.0, 1.13]",39.9,9780778319986,0778319989
Night of the Lightbringer,Peter Tremayne,"[""Historical Mysteries"", ""Crime & Mystery""]",368,2017,hardcover,"[3.5, 5.5, 1.23]",37.5,9781472238696,1472238699
The Storm Lord,Tanith Lee,"[""Fantasy Fiction"", ""Fiction""]",416,2017,paperback,"[6, 9, 1.39]",13.9,9780756411176,0756411173
Judas,Amos Oz,"[""Fiction in Translation"", ""Fiction in Translation and Short Stories""]",272,2017,"hardcover, paperback","[9.5, 12.0, 0.91]",16.9,9781784701956,1784701955
A Peace Divided,Tanya Huff,"[""Science Fiction"", ""Fiction""]",416,2017,paperback,"[8.25, 11.5, 1.39]",14.95,9781785656675,1785656678
On the Edge,Rafael Chirbes,"[""Modern & Contemporary Fiction"", ""Fiction""]",432,2017,"hardcover, paperback","[12.0, 19.0, 1.44]",20.75,9780099593171,0099593173
Beauty in Thorns,Kate Forsyth,"[""Historical Fiction"", ""Fiction""]",480,2017,paperback,"[5, 7.37, 1.6]",24.5,9781925324242,1925324249
Healing The Sheikh's Heart/A Life-Saving Reunion,Annie O'Neil,"[""Adult & Contemporary Romance"", ""Romance""]",384,2017,"hardcover, paperback","[7, 11, 1.28]",12.5,9781489223715,1489223711
Deliver Us From Evil,David BALDACCI,"[""Modern & Contemporary Fiction"", ""Fiction""]",400,2017,paperback,"[5.37, 8, 1.34]",41.4,9780230746688,0230746683
Ever My Love,Lynn Kurland,"[""Romance"", ""Fiction""]",336,2017,"hardcover, paperback","[4, 6.5, 1.13]",11.9,9780515156164,0515156167
Enter the Dark,Chris Thomas,"[""Crime & Mystery"", ""Fiction""]",282,2017,"hardcover, paperback","[6.5, 10, 0.94]",19.25,9781912175338,1912175339
Global Warming,J. N. Sadler,"[""Science Fiction"", ""Fiction""]",124,2017,hardcover,"[2.5, 4, 0.42]",41.75,9781543431735,1543431739
I Just Wanna Talk about It,Derrick Turner,"[""Modern & Contemporary Fiction"", ""Fiction""]",54,2017,hardcover,"[6.5, 10, 0.18]",17.25,9781640692480,1640692487
The Lie of the Land,Amanda Craig,"[""Modern & Contemporary Fiction"", ""Fiction""]",432,2017,hardcover,"[5.37, 8, 1.44]",32.25,9781408709290,1408709295
Like Jagged Teeth,Betty Rocksteady,"[""Horror & Ghost Stories"", ""Fantasy Fiction""]",118,2017,hardcover,"[6.5, 10, 0.4]",22.5,9781943720217,1943720215
Nobody's Darling,Josephine Cox,"[""Modern & Contemporary Fiction"", ""Fiction""]",496,2017,hardcover,"[4, 6.5, 1.66]",18.9,9781472245731,1472245733
Haunting Echoes,Mai Griffin,"[""Paranormal Romance Fiction"", ""Romance""]",416,2017,"hardcover, paperback","[6.5, 9.25, 1.39]",25.75,9781908135544,1908135549
Home to Wickham Falls,Rochelle Alers,"[""Adult & Contemporary Romance"", ""Romance""]",240,2017,paperback,"[5.37, 8, 0.8]",9.9,9780373623617,0373623615
High Season,Chazzy Patel,"[""Modern & Contemporary Fiction"", ""Fiction""]",222,2017,"hardcover, paperback","[12.0, 19.0, 0.74]",24.95,9781532328374,1532328370
Golden Kamuy,Satoru Noda,"[""Graphic Novels"", ""Fiction""]",192,2017,"hardcover, paperback","[3.5, 5.5, 0.64]",18.99,9781421594880,1421594889
Everyone's Getting Married,Izumi Miyazono,"[""Manga"", ""Graphic Novels""]",192,2017,"hardcover, paperback","[6, 9, 0.64]",16.9,9781421593449,1421593440
Swimming Home,Mary-Rose MacColl,"[""Historical Fiction"", ""Fiction""]",432,2017,"hardcover, paperback","[2, 3, 1.44]",25.75,9780143129967,0143129961
The Saved,C S Fraser,"[""Fantasy Fiction"", ""Fiction""]",96,2017,hardcover,"[3.5, 5.5, 0.32]",10.9,9781320601207,1320601200
MR Bingley's Bride,Catherine Bilson,"[""Historical Romance"", ""Romance""]",160,2017,hardcover,"[2, 3, 0.54]",16.75,9780995446625,0995446628
The Marriage Of Inconvenience,Nina Singh,"[""Adult & Contemporary Romance"", ""Romance""]",416,2017,"hardcover, paperback","[2.5, 4, 1.39]",13.25,9780263923148,0263923142
The Lyttleton Case,R A V Morris,"[""Crime & Mystery"", ""Fiction""]",224,2017,hardcover,"[6.5, 9.25, 0.75]",20.75,9780008216245,000821624X
Teen Titans The Judas Contract TP New PTG,Marv Wolfman,"[""Comic Strip Fiction & Graphic Novels for Children & Teenagers"", ""Children's Fiction""]",180,2017,hardcover,"[5.37, 8, 0.6]",27.95,9781401276911,1401276911
Beyond the Ice Limit,Preston and Child,"[""Thrillers & Suspense"", ""Fiction""]",384,2017,paperback,"[2, 3, 1.28]",24.95,9781786692061,1786692066
Master Professor,Tara Sue Me,"[""Erotic Fiction"", ""Fiction""]",384,2017,paperback,"[6.5, 9.25, 1.28]",16.9,9781472242709,147224270X
The Nearness of You,Dorothy Garlock,"[""Romance"", ""Fiction""]",384,2017,"hardcover, paperback","[4, 6.75, 1.28]",19.99,9781455527342,1455527343
The Year of Our War,Steph Swainston,"[""Fantasy Fiction"", ""Fiction""]",384,2017,paperback,"[5.37, 8, 1.28]",16.75,9781473221840,1473221846
The Dark Isle,Clare Carson,"[""Modern & Contemporary Fiction"", ""Fiction""]",416,2017,paperback,"[2, 3, 1.39]",24.95,9781786690555,1786690551
Gradle Bird,J. C. Sasser,"[""Modern & Contemporary Fiction"", ""Fiction""]",312,2017,paperback,"[4, 6.5, 1.04]",31.25,9781633932630,163393263X
Naked in Death and Glory in Death,J. D. Robb,"[""Crime & Mystery"", ""Fiction""]",816,2017,hardcover,"[2.5, 4, 2.72]",24.95,9780349416571,0349416575
A Warriner To Rescue Her,Virginia Heath,"[""Historical Romance"", ""Romance""]",368,2017,hardcover,"[2.5, 4, 1.23]",11.4,9780263925906,0263925900
Pregnant By The Colton Cowboy/A Stranger She Can Trust,Lara Lacombe,"[""Adult & Contemporary Romance"", ""Romance""]",576,2017,paperback,"[5, 7.37, 1.92]",12.75,9781489226198,1489226192
Teen Titans The Bronze Age Omnibus,"Bob;Schwartz, Julius; Haney","[""Graphic Novels"", ""Fiction""]",792,2017,hardcover,"[5.37, 8, 2.64]",140.75,9781401270759,1401270751
Bad Boys After Dark,Melissa Foster,"[""Adult & Contemporary Romance"", ""Romance""]",300,2017,paperback,"[2.5, 4, 1.0]",21.45,9781941480687,1941480683
The Discovery of Honey,Terry Griggs,"[""Short Stories"", ""Fiction in Translation and Short Stories""]",192,2017,paperback,"[2.5, 4, 0.64]",24.25,9781771961493,177196149X
The Rift,Nina Allan,"[""Science Fiction"", ""Fiction""]",400,2017,hardcover,"[7, 11, 1.34]",16.75,9781785650376,1785650378
Spread Your Wings,Jayne Rylon,"[""Romantic Suspense Fiction"", ""Romance""]",346,2017,paperback,"[8.25, 11.5, 1.16]",28.4,9781941785676,1941785670
Sky Doll : Sudra ,Alessandro Barbucci,"[""Graphic Novels"", ""Fiction""]",96,2017,hardcover,"[6.5, 10, 0.32]",21.25,9781785861291,1785861298
Thus Bad Begins,Javier Marias,"[""Fiction in Translation"", ""Fiction in Translation and Short Stories""]",512,2017,paperback,"[9.5, 12.0, 1.71]",16.75,9780241972823,0241972825
Honky Tonk Samurai,Joe R. Lansdale,"[""Thrillers & Suspense"", ""Fiction""]",352,2017,"hardcover, paperback","[2, 3, 1.18]",16.75,9781444787221,1444787225
Peculiar Ground,Lucy Hughes-Hallett,"[""Modern & Contemporary Fiction"", ""Fiction""]",496,2017,hardcover,"[3.5, 5.5, 1.66]",24.95,9780008126520,0008126526
Running Target,Kari Lemor,"[""Modern & Contemporary Fiction"", ""Fiction""]",218,2017,"hardcover, paperback","[5, 7.37, 0.73]",26.8,9781516100767,151610076X
The Legend of Zelda,Akira Himekawa,"[""Manga"", ""Graphic Novels""]",370,2017,hardcover,"[4, 6.75, 1.24]",26.75,9781421589633,142158963X
Soul Drinker (Eclipsing Trilogy #3),Nia Dragin,"[""Fantasy Fiction"", ""Fiction""]",338,2017,paperback,"[4, 6.5, 1.13]",20.75,9780990628491,0990628493
The Outcasts of Time,Ian Mortimer,"[""Historical Fiction"", ""Fiction""]",400,2017,hardcover,"[3.5, 5.5, 1.34]",24.95,9781471146565,1471146561
The Girl Who Knew Too Much,Amanda Quick,"[""Historical Romance"", ""Romance""]",400,2017,paperback,"[2, 3, 1.34]",26.25,9780349409450,0349409455
The Big Meat,Carlton Mellick 111,"[""Horror & Ghost Stories"", ""Fantasy Fiction""]",180,2017,hardcover,"[6.5, 10, 0.6]",34.9,9781621052487,1621052486
Commonwealth,Ann Patchett,"[""Modern & Contemporary Fiction"", ""Fiction""]",336,2017,hardcover,"[7, 11, 1.13]",15.95,9781408880364,1408880369
If We Were Villains,M. L. Rio,"[""Modern & Contemporary Fiction"", ""Fiction""]",368,2017,"hardcover, paperback","[6.5, 10, 1.23]",36.5,9781250095282,125009528X
Stay With Me,Ayobami Adebayo,"[""Modern & Contemporary Fiction"", ""Fiction""]",304,2017,hardcover,"[2.5, 4, 1.02]",25.75,9781782119586,1782119582
Place of Skulls,III Caleb Pirtle,"[""Historical Adventure"", ""Action & Adventure""]",506,2017,"hardcover, paperback","[4, 6.5, 1.69]",28.95,9781940460628,194046062X
Superman & Batman Generations TP (Elseworlds),John Byrne,"[""Superheroes & Super-villains"", ""Graphic Novels""]",160,2017,paperback,"[6, 9, 0.54]",49.25,9781401268596,1401268595
The Substitute,Nicole Lundrigan,"[""Thrillers & Suspense"", ""Fiction""]",286,2017,hardcover,"[4, 6.75, 0.96]",25.75,9781487002350,1487002351
The Red Chief,Ion Idriess,"[""Classic Fiction"", ""Fiction""]",226,2017,"hardcover, paperback","[9.5, 12.0, 0.76]",24.95,9781925416244,1925416240
Duke with Benefits,Manda Collins,"[""Regency Historical Romance\n"", ""Historical Romance""]",320,2017,hardcover,"[4, 6.75, 1.07]",11.9,9781250109880,1250109884
"Goodbye, Vitamin",Rachel Khong,"[""Modern & Contemporary Fiction"", ""Fiction""]",208,2017,paperback,"[4, 6.75, 0.7]",24.95,9781471159480,1471159485
The Agony of the Ghost,Hasan Azizul Huq,"[""Horror & Ghost Stories"", ""Fantasy Fiction""]",176,2017,hardcover,"[3.5, 5.5, 0.59]",35.9,9780857425027,0857425021
Swimmer Among the Stars,Kanishk Tharoor,"[""Short Stories"", ""Fiction in Translation and Short Stories""]",208,2017,hardcover,"[5.37, 8, 0.7]",21.75,9781509822218,1509822216
Hunting the Shadows,Tanith Lee,"[""Fantasy Fiction"", ""Fiction""]",256,2017,paperback,"[2.5, 4, 0.86]",22.75,9781479404421,147940442X
Scoundrels,Victor Cornwall,"[""Thrillers & Suspense"", ""Fiction""]",424,,"hardcover, paperback","[9.5, 12.0, 1.42]",19.95,9780995716308,0995716307
Mad, Chloé Esposito,"[""Modern & Contemporary Fiction"", ""Fiction""]",384,2017,hardcover,"[4, 6.5, 1.28]",25.5,9780718185701,0718185706
Two Nights,Kathy Reichs,"[""Thrillers & Suspense"", ""Fiction""]",336,2017,"hardcover, paperback","[5, 7.37, 1.13]",41.25,9780345544070,0345544072
Harborwood,Steven Sawyer,"[""Romance"", ""Fiction""]",268,2017,paperback,"[5, 7.37, 0.9]",19.25,9780986147302,0986147303
Secrets of the Tulip Sisters,Susan Mallery,"[""Contemporary Women's Fiction "", ""Fiction""]",448,2017,paperback,"[8.25, 11.5, 1.5]",38.5,9780373802760,0373802765
The Parthenon Bomber,Christos Chrissopoulos,"[""Social & Cultural History"", ""Specific Events & Topics in History""]",128,2017,paperback,"[9.5, 12.0, 0.43]",28.75,9781590518366,1590518365
The Dark Heart,Julie Cave,"[""Religious & Spiritual Fiction"", ""Fiction""]",288,2017,hardcover,"[2.5, 4, 0.96]",16.9,9781683440130,1683440137
Guilty Wives,Patterson ELLIS,"[""Modern & Contemporary Fiction"", ""Fiction""]",448,2017,hardcover,"[3.5, 5.5, 1.5]",32.75,9781846057892,1846057892
Block 46,Johana Gustawsson,"[""Crime & Mystery"", ""Fiction""]",280,2017,hardcover,"[6.5, 9.25, 0.94]",16.9,9781910633700,1910633704
Belief,Chris Parker,"[""Thrillers & Suspense"", ""Fiction""]",320,2017,"hardcover, paperback","[4, 6.5, 1.07]",18.9,9781909273238,1909273236
A Most Novel Revenge,Ashley Weaver,"[""Crime & Mystery"", ""Fiction""]",320,2017,paperback,"[2.5, 4, 1.07]",16.95,9780749020897,074902089X
"Rough Riders, Volume 3 [Branding Eli",Tatum Throne,"[""Erotic Fiction"", ""Fiction""]",200,2017,"hardcover, paperback","[6.5, 9.25, 0.67]",23.25,9781632592460,1632592460
Ssss,Gita Wolf,"[""Myth & Legend Fiction"", ""Fantasy Fiction""]",48,2017,hardcover,"[4, 6.75, 0.16]",29.95,9789380340098,9380340095
Robinson Crusoe,Daniel Defoe,"[""Classic Fiction"", ""Fiction""]",288,2017,hardcover,"[4, 6.5, 0.96]",26.95,9781632061195,1632061198
Looking After Joey,David Pratt,"[""Fiction in Translation and Short Stories"", ""Fiction""]",278,2017,"hardcover, paperback","[5.37, 8, 0.93]",27.25,9781590216859,1590216857
Wimmera,Mark Brandi,"[""Crime & Mystery"", ""Fiction""]",272,2017,hardcover,"[12.0, 19.0, 0.91]",22.5,9780733638459,0733638457
Language,Xiaolu Guo,"[""Modern & Contemporary Fiction"", ""Fiction""]",96,2017,hardcover,"[8.25, 11.5, 0.32]",7.9,9781784872700,1784872709
The Widow's House,Carol Goodman,"[""Thrillers & Suspense"", ""Fiction""]",352,2017,paperback,"[4, 6.75, 1.18]",23.4,9780062562623,0062562622
Pop Gun War Volume 2,Farel Dalrymple,"[""Literary & Memoirs"", ""Graphic Novels""]",176,2017,"hardcover, paperback","[12.0, 19.0, 0.59]",32.25,9781534301924,1534301925
In the Matter of Isabel,Paul A. Mendelson,"[""Modern & Contemporary Fiction"", ""Fiction""]",200,2017,hardcover,"[8.25, 11.5, 0.67]",18.9,9781911320876,1911320874
Swim,Sandra Scofield,"[""Modern & Contemporary Fiction"", ""Fiction""]",134,2017,"hardcover, paperback","[7, 11, 0.45]",45.25,9781930835191,1930835191
Jane Eyre,Charlotte Bronte,"[""Classic Fiction"", ""Fiction""]",656,2017,paperback,"[2, 3, 2.19]",16.95,9781509827794,150982779X
Gwendy's Button Box,Stephen King,"[""Horror & Ghost Stories"", ""Fantasy Fiction""]",176,2017,paperback,"[4, 6.75, 0.59]",22.5,9781473672093,1473672090
Pursuit,Jackie D,"[""Romantic Suspense Fiction"", ""Romance""]",240,2017,hardcover,"[3.5, 5.5, 0.8]",27.25,9781626399037,1626399034
Maigret And The Dead Girl,Georges Simenon,"[""Classic Crime"", ""Crime & Mystery""]",192,2017,paperback,"[7, 11, 0.64]",16.95,9780241297254,0241297257
The Texan's Return/Covert Kisses,Karen Whiddon,"[""Adult & Contemporary Romance"", ""Romance""]",576,2017,"hardcover, paperback","[8.25, 11.5, 1.92]",11.95,9781489226174,1489226176
Completely Captivated,A D Justice,"[""Romance"", ""Fiction""]",422,2017,paperback,"[6.5, 9.25, 1.41]",26.25,9780692894507,0692894500
Eldorado,L. Norman Shurtliff,"[""Thrillers & Suspense"", ""Fiction""]",350,2017,hardcover,"[2.5, 4, 1.17]",56.05,9781524687847,1524687847
Coronation of the White Rose,Vendens H. Pierre,"[""Modern & Contemporary Fiction"", ""Fiction""]",118,2017,"hardcover, paperback","[3.5, 5.5, 0.4]",24.95,9781524698485,1524698482
The Gulf,Anna Spargo-Ryan,"[""\r\nBooks\r\n"", nil]",304,2017,hardcover,"[6.5, 10, 1.02]",25.5,9781743537176,1743537174
When the Power Is Gone,P. a. Glaspy,"[""Unknown Default Category"", ""\r\nBooks\r\n""]",268,2017,hardcover,"[2, 3, 0.9]",22.75,9781910780442,1910780448
The First Day,Phil Harrison,"[""Modern & Contemporary Fiction"", ""Fiction""]",224,2017,paperback,"[5.37, 8, 0.75]",26.4,9780708898550,0708898556
Flight,Oona Frawley,"[""Modern & Contemporary Fiction"", ""Fiction""]",224,2017,"hardcover, paperback","[6.5, 9.25, 0.75]",18.77,9780992817008,0992817005
Nighthawk,Clive Cussler,"[""Thrillers & Suspense"", ""Fiction""]",464,2017,paperback,"[6.5, 9.25, 1.55]",40.75,9780399184017,0399184015
In the City of Shadows,Dakota Kirkpatrick,"[""Horror & Ghost Stories"", ""Fantasy Fiction""]",128,2017,paperback,"[5, 7.37, 0.43]",38.45,9781524696795,152469679X
What Alice Knew,TA Cotterell,"[""Crime & Mystery"", ""Fiction""]",384,2017,hardcover,"[9.5, 12.0, 1.28]",14.95,9781784162399,1784162396
Destination Unknown,Agatha Christie,"[""Classic Crime"", ""Crime & Mystery""]",256,2017,paperback,"[4, 6.75, 0.86]",14.95,9780008196363,0008196362
Like A Fly On The Wall,Simone Kelly,"[""Modern & Contemporary Fiction"", ""Fiction""]",448,2017,paperback,"[5, 7.37, 1.5]",25.75,9780062566454,0062566458
Dragons of Nova,Elise Kova,"[""Fantasy Fiction"", ""Fiction""]",490,2017,"hardcover, paperback","[6.5, 9.25, 1.64]",37.25,9781619845534,1619845539
Didn't I Warn You,Amber Bardan,"[""Adult & Contemporary Romance"", ""Romance""]",400,2017,hardcover,"[8.25, 11.5, 1.34]",14.5,9781489241283,1489241280
Madonna In A Fur Coat,Sabahattin Ali,"[""Fiction in Translation"", ""Fiction in Translation and Short Stories""]",176,2017,"hardcover, paperback","[4, 6.5, 0.59]",16.75,9780241293850,0241293855
The Last Summer,Frank Karkota,"[""Fantasy Fiction"", ""Fiction""]",126,2017,hardcover,"[5.37, 8, 0.42]",17.25,9781640270046,1640270043
Domina,L.S. Hilton,"[""Thrillers & Suspense"", ""Fiction""]",320,2017,paperback,"[8.25, 11.5, 1.07]",22.75,9781785760884,1785760882
The Legion of Flame,Anthony Ryan,"[""Fantasy Fiction"", ""Fiction""]",592,2017,paperback,"[12.0, 19.0, 1.98]",24.95,9780356506418,035650641X
No Middle Name,Lee Child,"[""Thrillers & Suspense"", ""Fiction""]",400,2017,"hardcover, paperback","[6.5, 10, 1.34]",24.5,9780593079027,0593079027
Dogs of War,"Maberry, Jonathan","[""Thrillers & Suspense"", ""Fiction""]",544,2017,paperback,"[6.5, 9.25, 1.82]",23.75,9781250098481,1250098483
Memoirs of a Polar Bear,Yoko Tawada,"[""Classic Fiction"", ""Fiction""]",256,2017,"hardcover, paperback","[3.5, 5.5, 0.86]",23.4,9781846276316,1846276314
Saving Mercy,Abbie Roads,"[""Romance"", ""Fiction""]",320,2017,hardcover,"[5, 7.37, 1.07]",11.9,9781492639237,1492639230
The Hunchback of Notre Dame (Translated by Isabel F. Hapgood),Victor Hugo,"[""Classic Fiction"", ""Fiction""]",398,2017,"hardcover, paperback","[12.0, 19.0, 1.33]",33.4,9781420955255,142095525X
Taking Her Innocence,Sam Crescent,"[""Romance"", ""Fiction""]",146,2017,paperback,"[8.25, 11.5, 0.49]",21.8,9781773392837,1773392832
Thanos Vol. 1,Jeff Lemire,"[""Graphic Novels"", ""Fiction""]",136,2017,"hardcover, paperback","[9.5, 12.0, 0.46]",26.75,9781302905576,1302905570
Palookaville 23,Seth,"[""Graphic Novels"", ""Fiction""]",104,2017,paperback,"[2, 3, 0.35]",34.25,9781770462816,1770462813
An Irresistible Alliance,Stephanie Laurens,"[""Romance"", ""Fiction""]",268,2017,"hardcover, paperback","[8.25, 11.5, 0.9]",32.95,9781925559040,1925559041
Strange Magic,Syd Moore,"[""Modern & Contemporary Fiction"", ""Fiction""]",400,2017,paperback,"[4, 6.75, 1.34]",16.9,9781786070982,1786070987
Alien Covenant,Titan Books,"[""Fantasy Fiction"", ""Fiction""]",96,2017,paperback,"[9.5, 12.0, 0.32]",26.75,9781785861925,1785861921
The Templars' Last Secret,Martin Walker,"[""Crime & Mystery"", ""Fiction""]",400,2017,hardcover,"[5.37, 8, 1.34]",35.75,9781784294656,1784294659
Killer Look,Linda Fairstein,"[""Crime & Mystery"", ""Fiction""]",432,2017,"hardcover, paperback","[6, 9, 1.44]",16.75,9780751560398,0751560391
Her Secret,Shelley Gray,"[""Modern & Contemporary Fiction"", ""Fiction""]",272,2017,hardcover,"[2, 3, 0.91]",35.25,9780062659576,006265957X
"Harley Quinn, Volume 2: Joker Loves Harley (Rebirth)",Amanda Conner,"[""Graphic Novels"", ""Fiction""]",144,2017,paperback,"[2.5, 4, 0.48]",24.95,9781401270957,1401270956
Summer Vacation,Linda Gee,"[""Romance"", ""Fiction""]",272,2017,hardcover,"[3.5, 5.5, 0.91]",74.5,9781543423303,1543423302
Heresy : Assassin's Creed,Christie Golden,"[""Historical Adventure"", ""Action & Adventure""]",432,2017,hardcover,"[3.5, 5.5, 1.44]",14.95,9780718186982,0718186982
The Tyrant Falls In Love Volume 10,Hinako Takanaga,"[""Manga"", ""Graphic Novels""]",200,2017,"hardcover, paperback","[5.37, 8, 0.67]",25.95,9781569703694,1569703698
Krays Life of Crime,Ghost Author,"[""Crime & Mystery"", ""Fiction""]",142,2017,"hardcover, paperback","[2.5, 4, 0.48]",17.5,9781366949639,1366949633
Finding Hannah,Fiona McCallum,"[""Modern & Contemporary Fiction"", ""Fiction""]",368,2017,paperback,"[2, 3, 1.23]",24.95,9781489220363,1489220364
Where The Trees Were,Inga Simpson,"[""Modern & Contemporary Fiction"", ""Fiction""]",304,2017,"hardcover, paperback","[4, 6.5, 1.02]",16.75,9780733637858,073363785X
On Heroes And Tombs,Ernesto Sabato,"[""Fiction in Translation"", ""Fiction in Translation and Short Stories""]",480,2017,paperback,"[2, 3, 1.6]",20.75,9780141985862,0141985860
Cinderella Serial Killer Princess,Dave Franchini,"[""Graphic Novels"", ""Fiction""]",112,2017,paperback,"[5.37, 8, 0.38]",25.75,9781942275558,1942275552
Peculiar Life of a Lonely Postman,"Denis;Hawke,Liedewy Theriault","[""Fiction"", ""\r\nBooks\r\n""]",128,2017,hardcover,"[6.5, 10, 0.43]",14.95,9781786070531,1786070537
A Time to Tell Lies,Alan Kennedy,"[""Modern & Contemporary Fiction"", ""Fiction""]",288,2017,"hardcover, paperback","[6.5, 9.25, 0.96]",22.25,9780993202322,0993202322
The Forever Ship,Francesca Haig,"[""Fantasy Fiction"", ""Fiction""]",448,2017,hardcover,"[3.5, 5.5, 1.5]",28.75,9780007563135,0007563132
Destroyers Reading Copy & Bookmark Pack(8 + 1 Free),Christopher Bollen,"[""Modern & Contemporary Fiction"", ""Fiction""]",,2017,hardcover,"[6.5, 9.25, 0.6]",159.95,9781925596755,1925596753
Doctor Strange Vol. 2,Jason Aaron,"[""Graphic Novels"", ""Fiction""]",168,2017,paperback,"[4, 6.5, 0.57]",29.95,9780785199335,0785199330
